lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción e introducción de: Guillermo Castillo-Feliú.,207239,Xicoténcatl,1999,University of Texas Press,,,,,,,Austin,EUA,Inglés,Narrativa,Novela
,207240,"Colonial angels : narratives of gender and spirituality in Mexico, 1580-1750",2000,University of Texas Press,,,,,,,Austin,EUA,Inglés,Crítica y estudios sobre géneros varios,
Introducción de: Will H. Corral. Traducción al inglés de: Edith Grossman.,207251,Complete Works and Other Stories,1995,University of Texas Press,,,,,,,Austin,EUA,Inglés,Narrativa,Cuento
Prólogo de: Ignacio Betancourt. Traducción al francés y selección de: Françoise Castaings.,207417,Poesía y prosa : Poésie et prose,2007,El Colegio de San Luis,,,,,,Colección Literaria,D.F.,México,Francés,Títulos de géneros varios,
,207804,Nackte Erscheinung: das Werk von Marcel Duchamp,1991,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Leopold Federmair.,207807,Rückkehr zu Sisyphos: Gedichte 1959 - 2000,2003,Selene,,,,,,,Viena,Austria,Alemán,Poesía,
,207812,Nachrichten aus dem Imperium. Roman,1996,Hammer,,,,,,,Wuppertal,Alemania,Alemán,Narrativa,Novela
,207866,Augen eines anderen Schauens,2009,Delta,,,,,,,Stuttgart,Alemania,Alemán,Poesía,
,207868,Die Wundertäterin,1995,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
,207870,Die Antwort an Schwester Philothea,1991,Neue Kritik,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
,207872,Die Welt im Traum. Eine Dichtung der &quot;zehnten Muse von Mexiko&quot;,1941,Ulrich Riemerschmid,,,,,,,Berlín,Alemania,Alemán,Poesía,
,207873,Erster Traum,1993,Insel,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Hans Schlegel.,207874,Entführung,0,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Dramaturgia,
Traducción al alemán de: Curt Meyer-Clason.,207877,Bootsgesänge,1999,Rimbaud,,,,,,,Aachen,Alemania,Alemán,Poesía,
Traducción al alemán de: Rudolf Wittkopf.,207878,Enloser Tod,1995,Rimbaud,,,,,,,Aachen,Alemania,Alemán,Poesía,
,207909,Die Langsame Wut,1997,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Juana Burghardt. Traducción al alemán de: Tobias Burghardt.,207910,Früher oder später,2011,Delta,,,,,,,Stuttgart,Alemania,Alemán,Poesía,
Traducción al alemán de: Rudolf Wittkopf.,207912,Itinerarium: kleine politische Autobiographie,1996,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al francés y selección de: Rudolf Wittkopf.,207913,Die andere Stimme: Dichtung an der Jahrhundertwende,1994,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Fritz Vogelgsang. Traducción al alemán de: Rudolf Wittkopf.,207914,Vrindavan und andere Gedichte aus dem Osten,1994,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Fritz Vogelgsang. Traducción al alemán de: Rudolf Wittkopf.,207915,Das fünfarmige Delta,2000,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Susanne Lange. Traducción al alemán de: Rudolf Wittkopf. Traducción al alemán de: Michael Nungesser.,207917,Das Vorrecht des Auges,2001,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
,207921,Liebesgedichte,2011,Insel,,,,,,,Berlín,Alemania,Alemán,Poesía,
Traducción al alemán de: Thomas Brovot.,207924,Lektüre und Kontemplation,1991,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
,207925,Der sprachgelehrte Affe,1990,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
,207926,Der Bogen und die Leier: poetologischer Essay,1990,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Maria Bamberg.,207958,Sor Juana Inés de la Cruz oder die Fallstricke des Glaubens,1994,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Fritz Vogelgsang.,207960,Suche nach einer Mitte,1980,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Carl Heupel. Traducción al alemán de: Rudolf Wittkopf.,207961,Der menschenfreundliche Menschenfresser: Geschichte und Politik,1981,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Elke Wehr. Traducción al alemán de: Rudolf Wittkopf.,207962,Verbindungen-Trennungen: ein Essay,1984,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Fritz Vogelgsang.,207963,"Freiheit, die sich erfindet: Gedichte",1971,Luchterhand,,,,,,,Neuwid,Alemania,Alemán,Poesía,
Traducción al alemán de: Rudolf Wittkopf.,207965,In mir der Baum: Gedichte,1990,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Thomas Brovot.,207969,Octavio Paz: Leben und Werk; eine Einführung.,0,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Reiner Kornberger.,207973,Das Haus aus Luft,2005,Atlantik,,,,,,,Bremen,Alemania,Alemán,Poesía,
Traducción al alemán de: Dieter Masuhr.,207976,Am Grund von alledem schläft ein Pferd,1993,Reclam,,,,,,,Leipzig,Alemania,Alemán,Poesía,
Traducción al alemán de: Kajo Niggestich.,208018,Confabularium,1992,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Nora Haller. Traducción al alemán de: Dagmar Ploetz.,208019,Falsche Papiere,2014,Kunstmann,,,,,,,Munich,Alemania,Alemán,Ensayo,
Traducción al alemán de: Dagmar Ploetz.,208020,Die Schwerelosen,2013,Kunstmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Hans Boelicke.,208022,Legenden der Maya,1984,Manesse,,,,,,,Zürich,,Alemán,Narrativa,Cuento
Traducción al alemán de: Horst Rosenberger.,208052,Botschaften aus dem lakandonischen Urwald,1996,Nautilus,,,,,,,Hamburgo,Alemania,Alemán,Ensayo,
Traducción al alemán de: Mariana Frenk-Westheim.,208053,Pedro Páramo,1958,Hanser,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Mariana Frenk-Westheim.,208056,Der Llano in Flamen,1964,Hanser,,,,,,,Munich,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Birgitt Kollmann .,208057,Das wilde Buch,2014,Hanser,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,208059,Die Augen von San Lorenzo,1996,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Andrea Graubart Labinger.,208063,Bubbeh,1998,Latin American Literary Review Press,,,,,,,Pittsburg,EUA,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,208065,Das dunkle Lächeln der Catalina Díaz,1996,Droemer Knaur,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Fritz Vogelgsang.,208067,Die neun Wächter,1983,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Ursula Pfisterer.,208068,"Farabeuf, oder, Die chronik eines augenblicks",1969,Hanser,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Heike Smets.,208071,Esperanza und die Heiligen,1999,Diana,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,208073,Bittersüße Schokolade,1994,Suhrkamp Verlag,,,,,,,,,Alemán,Narrativa,Novela
Edición de: Bernd Jentzsch. Introducción de: Carlos Rincón. Traducción al alemán de: Hans Arendt. Traducción al alemán de: Fritz Vogelgsang. Traducción al alemán de: Hans Magnus Enzensberger.,208117,Octavio Paz,1973,Neues Leben,,,,,,Poesiealbum 72,Berlín,Alemania,Alemán,Poesía,
"Traducción, prólogo y notas de: Juan Ortega y Medina.",208128,Cartas sobre México. La República mexicana durante los años decisivos de 1832 y 1833,1959,Universidad Nacional Autónoma de México,,,,,,Nueva Biblioteca Mexicana; 3 / Facultad de Filosofía y Letras,D.F.,México,Alemán,Títulos de géneros varios,
Traducción al alemán de: Rudolf Wittkopf. Traducción al alemán de: Carl Heupel.,208170,Essays II,1980,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Rudolf Wittkopf. Traducción al alemán de: Carl Heupel.,208172,Essays I,1979,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Elke Wehr. Traducción al alemán de: Rudolf Wittkopf.,208176,Zwiesprache : Essays zu Kunst und Literatur,1984,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Epílogo de: Carlos Marroquín. Traducción al alemán de: Fritz Vogelgsang.,208177,Wörter. die welt zu versiegeln: Gedichte,1987,Volk Welt,,,,,,,Berlín,Alemania,Alemán,Poesía,
Traducción al alemán de: Rudolf Wittkopf.,208179,Aller oder Sonne?,1991,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Poesía,
Traducción al alemán de: Rudolf Wittkopf.,208181,Die doppelte Flame: Liebe und Erotik,1995,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Presentación de: Víctor Hugo Rascón Banda. Traducción al náhuatl de: Patrick Johansson Keraudren.,208229,In oc ticchíah in Godot = Esperando a Godot,2007,Libros de Godot,,,,,,,D.F.,México,náhuatl,Dramaturgia,
,208238,Der vergrabene Spiegel,1992,Hoffmann und Campe,,,,,,,Hamburgo,Alemania,Alemán,Ensayo,
Traducción al alemán de: Maria Bamberg.,208239,Landschaft in klarem Licht,2010,Süddeutsche Zeitung,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Lisa Grüneisen.,208240,Unheimliche gesellschaft,2006,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Maria Bamberg.,208241,Der alte Gringo,1998,Suhrkamp Verlag,,,,,,Bibliothek Suhrkamp,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Maria Bamberg.,208243,Terra nostra,1999,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Sabine Giersberg .,208244,Das gläserne Siegel,2001,Deutscher Taschenbuch,,,,,,,Stuttgart,Alemania,Alemán,Narrativa,Novela
,208246,Alle Katzen sind grau,1988,Rowohlt,,,,,,,Reinbek,Alemania,Alemán,Dramaturgia,
Traducción al alemán de: Ulrich Kunzmann.,208251,Die Jahre mit Laura Díaz,2000,Deutsche Verlags-Anstalt,,,,,,,Munich,Alemania,Alemán,Ensayo,
Traducción al alemán de: Christa Wegen.,208252,Hautwechsel,1980,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Maria Bamberg.,208253,Das Haupt der Hydra,1994,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Maria Bamberg.,208255,Chac Mool. Erzählungen.,1990,Rowohlt,,,,,,,Reinbek,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Maria Bamberg.,208256,Verbranntes Wasser. Vier Erzählungen,1987,Deutsche Verlags-Anstalt,,,,,,,Stuttgart,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Lutz Kliche.,208291,Das Gesetz des Stärkeren,2011,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Timo Berger.,208292,Jesus liebt dich nicht,2014,Verlagshaus J. Frank,,,,,,,Berlín,Alemania,Alemán,Poesía,
,208293,"Kleidung als Symbol, das Beispiel der Altgläubigen Südsibiriens im 19. und beginnenden 20. Jahrhundert",1993,Lit,,,,,,,Münster,Alemania,Alemán,Ensayo,
Traducción e introducción de: Margaret Sayers Peden . Ilustración de: José Treviño.,208295,The Norther = El norte,1968,University of Texas Press,,,,,,,Austin,EUA,Inglés,Narrativa,Novela
,208297,Sie haben Don Jesus umgebracht,1977,Henschel,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Elisabeth Müller.,208298,Das Evangelium des Lucas G,1987,Eichborn,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Ilse Layer.,208301,"Stimme des Wassers, eine magische Reise durch die Wüste",2004,Deutscher Taschenbuch,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Ilse Layer.,208303,Das grüne Feuer,2003,Nagel &amp; Kimche,,,,,,,Munich,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Angélica Ammar.,208307,Die göttliche Schnepfe,2009,btb,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Christian Hansen.,208311,Die Reise : ein Besuch Rußlands und seiner Literatur,2003,btb,,,,,,,Berlín,Alemania,Alemán,Narrativa,Crónica
Traducción al alemán de: Karin Schmidt.,208312,Allem zum Trotz...: das Leben der Jesusa,1982,Bornheim-Merten,,,,,,,Lamuv,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Monika López.,208313,"Die Schwester, die Feindin. Erzählungen",1991,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Gerhard Baumrucker.,208335,Eine leichte Sache,1987,Goldmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Gerhard Baumrucker.,208338,Das nimmt kein gutes Ende,1984,Goldmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Alexander Lang.,208340,Die Nacht,2013,Heyne,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Alexander Lang.,208342,Das Blut,2010,Heyne,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Alexander Lang.,208343,Die Saat,2009,Heyne,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,208346,Der Würgeengel,2004,Goldmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
,208347,Das Klingsor-Paradox,2003,Goldmann,,,,,,,Munich,Alemania,Alemán,Narrativa,Novela
Traducción de: Ángel María Garibay.,208349,Rückkehr der Götter die Aufzeichnungen der Azteken über den Untergang ihres Reiches,1962,Middelhauve,,,,,,,Colonia,Alemania,Alemán,Narrativa,Crónica
,208354,The Night Eternal,2011,William Morrow,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
,208359,"Signale aus dem Abseits, eine lateinamerikanische Philosophie der Geschichte",1989,Eberhard,,,,,,,Munich,Alemania,Alemán,Ensayo,
Traducción al alemán de: Dieter Woll.,208456,Mexikanische Literatur : Kompendium,1968,Botschaft der Vereinten Mexikanischen Staaten,,,,,,,Colonia,Alemania,Alemán,Ensayo,
Traducción al alemán de: Hans-Otto Dill.,208461,Die schwarze Katze der Verfassung im dunklen Zimmer der mexikanischen Politik: Politik und Literatur,1997,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Ensayo,
Traducción al alemán de: Harry Stürmer.,208470,Der Schatten des Schattens,2015,Assoziation A,,,,,,,Hamburgo,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Peter Schwaar.,208472,Die toten Frauen,1990,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Coordinación de: Dominique Dufétel.,208522,Maguey,2000,Artes de México,,,,,,,D.F.,México,Inglés,Ensayo,
,208523,Serpientes en el arte prehispánico,1996,Artes de México,,,,,,,D.F.,México,Inglés,Ensayo,
Traducción al inglés de: Dorothy Margaret Kress.,208695,Essays and Poems,1938,Publications of the Institute of French Studies,,,,,,,Nueva York,EUA,Inglés,Títulos de géneros varios,
Traducción al alemán de: Peter Kultzen.,208847,Aufschlag Caravaggio,2015,Karl Blessing Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Novela
,208851,Stark ist das Schweigen,1995,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,,
,208876,Lieber Diego,1996,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Novela
,208878,Tinissima. Das Lebensroman der Tina Modotti,1998,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción de: Maria Hoffmann-Dartevelle.,208879,Frau des Windes,2012,Insel,,,,,,,X,Alemania,Alemán,Narrativa,Novela
,208880,Schatten ohne Namen,2007,Tropen,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Angélica Ammar.,208882,Drosseln begraben. Die schönsten Erzählungen,2013,Wagenbach,,,,,,,X,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Angélica Ammar.,208883,Mephistowalzer. Erzählungen,2005,Wagenbach,,,,,,Salto,X,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Petra Strien-Bourmer .,208884,Eheleben,2003,Wagenbach,,,,,,Salto,X,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer .,208885,Defilee der Liebe,2003,Wagenbach,,,,,,Quartbuch,X,Alemania,Alemán,Narrativa,Novela
,208886,Die Kunst der Flucht,0,Matthes and Seitz,,,,,,,Berlín,Alemania,Alemán,Ensayo,
Traducción al alemán de: Susanne Lange.,208887,Wind in den Bergen: Liebesbriefe an Clara,2003,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Obras biográficas,Epistolarios
Traducción al alemán de: Monika López.,208890,Frauen mit großen Augen,1994,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Petra Strien-Bourmer . Traducción al alemán de: Petra Strien-Bourmer .,208892,Emilia,1999,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Petra Strien-Bourmer . Traducción al alemán de: Petra Strien-Bourmer .,208892,Emilia,1999,Suhrkamp Verlag,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Andreas Löhrer.,208898,Che. Die Biographie des Ernesto Guevara,2002,Nautilus,,,,,,,X,Alemania,Alemán,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al alemán de: Kurt Scharf.,208901,Das bizarre Leben,1994,Rowohlt,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Horst Rosenberger.,208902,Olga Forever: Kriminalroman,1998,Nautilus,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción de: Anselmo Silvano Jiménez. Traducción de: Marco Antonio López Sántiz. Traducción de: Lorena Torres Gómez. Traducción de: Araceli Sántiz López. Traducción de: Sebastian Sántiz López. Traducción de: Juana Sandra López Morales. Traducción de: Herlinda López Sánchez. Traducción de: Patricia Sántiz López. Traducción de: Juana María Méndez Gómez. Traducción de: Mariano Gómez López.,208991,Benzulul,2013,Editorial Terracota,,,,,,Biblioteca Mínima Mexicana; 5 / Universidad Intercultural de Chiapas / Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Chiapas,México,tseltal,Narrativa,Cuento
Traducción de: Juan Jesús Vázquez Álvarez. Traducción de: Francisco Méndez Torres. Traducción de: Elena López Arcos. Traducción de: Rodolfo Sánchez Montejo. Traducción de: Héctor Jovanny Arcos Velasco. Traducción de: Gladis Gómez López. Traducción de: Leocadia Arcos Méndez. Traducción de: Magdalena Arcos Meneses. Traducción de: Inocencio Jacobo Alvaro Gómez. Traducción de: Bibi Nayeli Oleta Gómez. Traducción de: Yanira Patricia Méndez López.,209115,Jiñi ajaw,2013,Editorial Terracota,,,,,,Biblioteca Mínima Mexicana; 7 / Universidad Intercultural de Chiapas / Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Chiapas,México,tseltal,Narrativa,Cuento
Traducción de: María de la Flor Gómez. Traducción de: Abraham Cruz. Traducción de: Adelaida Espinoza. Traducción de: Andulio Álvarez. Traducción de: Carina Trujillo. Traducción de: Ecsac Noé Hernández. Traducción de: Elías López. Traducción de: Ever Daniel Cruz. Traducción de: Antonio Gómez. Traducción de: Guillermo Sántiz. Traducción de: José Julio Gómez. Traducción de: José Oliver Velasco. Traducción de: Juana Gómez. Traducción de: Luis Miguel Sántiz. Traducción de: Madaí Ayneé Hernández. Traducción de: Margarita Hernández. Traducción de: María de los Ángeles Sántiz. Traducción de: María del Carmen Gómez. Traducción de: María Reyna Cruz. Traducción de: María Rosalba Sántiz. Traducción de: Rigoberto López. Traducción de: Victoria del Rosario Sosa.,209117,B'alune k'anal,2013,Editorial Terracota,,,,,,Biblioteca Mínima Mexicana; 6 / Universidad Intercultural de Chiapas / Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Chiapas,México,tseltal,Narrativa,Novela
,209143,La ofrenda : Teatro nahuatl = Tlatsikuini,1994,Diana,Consejo Nacional para la Cultura y las Artes,Dirección General de Culturas Populares,,,,CONACULTA,D.F.,México,náhuatl,Dramaturgia,
Traducción al checo de: Jindr. Kubicka.,209147,Demetrio. Ti zdola,1935,Julius Albert,,,,,,,Praga,República Checa,Checo,Narrativa,Novela
Traducción al alemán de: Klaus Jetz.,209151,Die Rechtlosen: Roman aus der mexikanischen Revolution,1992,Dipa,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al francés de: Joaquin Maurin. Prefacio de: Valery Larbaud.,209152,Ceux d'en bas,1930,L'Herne,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al japonés de: Tamiji Kitagawa.,209155,[Traducción de Los de abajo al japonés],1933,Edición del Diario de México,,,,,,,X,México,Japonés,Narrativa,Novela
Traducción al croata de: Zoran Ninihi.,209158,Oni sa Dna,1933,Obzor,,,,,,,Zagreb,,Croata,Narrativa,Novela
Traducción al portugués de: Aurelio Pinheiro.,209160,Os Rebelados,1934,,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al sueco: Karin Alin. Traducción al sueco: Borge Cederholm.,209163,Rebellerna,1952,Natur och Kultur,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al hebreo de: Yossi Tal.,209169,[Traducción de Los de abajo al hebreo],2015,Xargol Books,,,,,,,Jerusalén,Israel,Hebreo,Narrativa,Novela
Traducción al inglés de: Michael Alderson .,209201,The War of the Fatties and Other Stories from Aztec History,1993,University of Texas Press,,,,,,,Texas,EUA,Inglés,Narrativa,Cuento
Traducción al inglés de: Margarita Vargas. Traducción al inglés de: Juan Bruce-Novoa.,209202,The House on the Bench. A Novel,1994,University of Texas Press,,,,,,,Texas,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Bertie Acker.,209203,Iphigenia (The diary of a young lady who wrote because she was bored),1994,University of Texas Press,,,,,,,Texas,EUA,Inglés,Narrativa,Novela
,209229,[Traducción de Los de abajo al ruso],1960,Khudozhestvennaya Literatura,,,,,,,Moscú,Rusia,Ruso,Narrativa,Novela
Traducción al alemán de: Hans Dietrich Diffelhoff.,209230,Die Rotte,1930,Kindt &amp; Bucher,,,,,,,Giessen,Alemania,Alemán,Narrativa,Novela
Traducción al francés de: Joaquin Maurin.,209239,L'Ouragan,1928,Le Monde,,,,,,,París,Francia,Francés,Narrativa,Novela
,209258,Cuentos totonacos. Antología,2000,Consejo Nacional para la Cultura y las Artes,Dirección General de Culturas Populares,,,,,CONACULTA,D.F.,México,totonaco,Narrativa,Cuento
,209262,Cuentos purépechas = Juchari uandantskuecha : antología,1994,Consejo Nacional para la Cultura y las Artes,Dirección General de Culturas Populares,,,,,CONACULTA,D.F.,México,náhuatl,Narrativa,Cuento
"Transcripción, presentación y notas de: Víctor de la Cruz.",209478,Canciones zapotecas de Tehuantepec,1980,Patronato de la Casa de la Cultura del Itsmo,,,,,,,Juchitán,México,zapoteco del Istmo,Títulos de géneros varios,
Traducción al inglés de: Doris Meyer. Traducción al inglés de: Irene Matthews.,209480,Cartucho. My Mother´s Hand,1988,University of Texas Press,,,,,,,Texas,EUA,Inglés,Narrativa,Cuento
"Traducción, estudio introductorio y notas de: Maureen Ahern.",209483,A Rosario Castellanos Reader,1988,University of Texas Press,,,,,,,Texas,EUA,Inglés,Títulos de géneros varios,
Introducción y recopilación de: Barbara Bockus Aponte.,209489,"Alfonso Reyes and Spain. His Dialogue with Unamuno, Valle-Inclán, Ortega y Gasset, Jiménez and Gómez de la Serna",1972,University of Texas Press,,,,,,,Texas,EUA,Inglés,Obras biográficas,Epistolarios
Traducción al inglés de: George D. Schade . Ilustraciones de: Kelly Fearing.,209491,Confabulario and Other Inventions,1964,University of Texas Press,,,,,,,Austin,EUA,Inglés,Narrativa,Cuento
Traducción al italiano de: Caterina Camastra.,209555,I nomi dell'aria,2015,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Caterina Camastra.,209556,L'uomo dei funghi,2007,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Novela
Traducción al tzeltal de: Lucio Cruz Cruz. Ilustraciones de: Rodrigo Vargas.,209689,Ahora ¡ABRACADABRA!,2013,Editorial 3 Abejas,,,,,,,D.F.,México,tseltal,Narrativa,Cuento
Traducción al náhuatl de: Reyna Alvarado Reyes. Ilustraciones de: Cecilia Varela.,209690,Encontré un...,2013,Editorial 3 Abejas,,,,,,,D.F.,México,náhuatl,Narrativa,Cuento
Traducción al francés de: Michel Bibard.,209725,Palinure de Mexico,1985,Arthème Fayard,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al portugués de: Salvato Teles de Menezes. Traducción al portugués de: María Victoria Navas.,209730,Palinuro do Mexico,1984,Difel,,,,,,,,,Portugués,Narrativa,Novela
Traducción al alemán de: Susanne Lange.,209737,Palinurus von Mexico,1992,Frankfurter Verlagsanstalt,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al holandés de: Tin Ceelen. Traducción al holandés de: Margariet Muris.,209738,Palinurus van Mexico,1993,Ambo-Novib Neos,,,,,,,,,Holandés,Narrativa,Novela
Traducción al francés de: Claude Fell.,209741,Des nouvelles de l'Empire,1990,Arthème Fayard,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Stella T. Clark. Traducción al inglés de: Alfonso González.,209747,News from the Empire,2009,Dalkey Archive Press,,,,,,,Champaign,EUA,Inglés,Narrativa,Novela
Traducción al alemán de: Sussana Mende.,209750,Linda 67. Roman eines Mörders,2000,Droemer Knaur,,,,,,,Munich,Alemania,Inglés,Narrativa,Novela
,209751,Douceur et passion de la cuisine mexicaine,1991,Ed. de l'Aube,,,,,,,X,Francia,Francés,Títulos con dos o más géneros,
,209753,La cocina mexicana,2003,Diana,,,,,,,X,México,Francés,Títulos con dos o más géneros,
